LOCAL_PONTO;NRO_PONTO;SITUACAO;TIPO;CATEGORIA;ENDEREÇO;NRO;CEP;CODLOG;REGIAO;SUBPREFEITURA
3040259;1820;ATIVO;PRIVATIVO;COMUM;MARIA MARCOLINA, R.;146;3011000;133035;LESTE;MOOCA
3040275;735;ATIVO;PRIVATIVO;COMUM;DURVAL VILALVA DR., R.;233;8110240;61484;LESTE;ITAIM PAULISTA
3040283;;ATIVO;LIVRE;ESPECIAL;TERMINAL RODOVIÁRIO BRESSER;67;3053020;196975;NORTE;MOOCA
3040291;1400;ATIVO;PRIVATIVO;COMUM;CHAVANTES, R.;640;3027000;48712;LESTE;MOOCA
3040313;844;ATIVO;PRIVATIVO;COMUM;JOÃO TEODORO, R.;1689;3009000;104850;LESTE;MOOCA
3040364;1857;ATIVO;PRIVATIVO;COMUM;HANNEMANN, R.;263;3031040;85707;LESTE;MOOCA
3040402;754;ATIVO;PRIVATIVO;COMUM;LUIS DO PAÇO, R.;100;3071070;122254;LESTE;MOOCA
3040410;2107;ATIVO;PRIVATIVO;COMUM;JOLY, R.;421;3016020;106402;LESTE;MOOCA
3040429;2145;ATIVO;PRIVATIVO;COMUM;CARLOS DE CAMPOS, AV.;648;3028000;43320;LESTE;MOOCA
3040445;2580;ATIVO;PRIVATIVO;COMUM;CARLOS BOTELHO DR, R.;225;3017010;43133;LESTE;MOOCA
3040453;2772;ATIVO;PRIVATIVO;COMUM;PARAÍBA, R.;299;3013030;154385;LESTE;MOOCA
3040461;2777;ATIVO;PRIVATIVO;COMUM;DANTAS CONS., R.;173;3032020;57070;LESTE;MOOCA
3040470;2809;EXTINTO;PRIVATIVO;COMUM;RODRIGUES DOS SANTOS, R.;579;3009010;173185;LESTE;MOOCA
3040496;2839;ATIVO;PRIVATIVO;COMUM;MILLER, R.;660;3011010;139670;LESTE;MOOCA
3040500;2854;ATIVO;PRIVATIVO;COMUM;VAUTIER, AV.;130;3032000;195162;LESTE;MOOCA
3040518;;ATIVO;LIVRE;COMUM;PASCOAL RANIERI, R;151;3034060;155624;LESTE;MOOCA
3040519;3039;ATIVO;PRIVATIVO;COMUM;TIERS, R.;155;3031000;189057;LESTE;MOOCA
3045013;;ATIVO;LIVRE;COMUM RADIO;CATUMBÍ, R.;930;3021000;46329;NORTE;MOOCA
3045021;;ATIVO;LIVRE;COMUM RADIO;RIO BONITO, R.;1297;3023000;171123;NORTE;MOOCA
3060039;383;ATIVO;PRIVATIVO;COMUM;SILVA JARDIM, R.;40;3057070;181846;LESTE;MOOCA
3060047;1668;ATIVO;PRIVATIVO;COMUM;SANTO EDUARDO, PÇA;1;2113000;62294;NORTE;VILA MARIA/VILA GUILHERME
3060055;499;ATIVO;PRIVATIVO;COMUM;GUILHERME COTCHING, R.;1698;2113014;84786;NORTE;VILA MARIA/VILA GUILHERME
3060063;2045;EXTINTO;PRIVATIVO;COMUM;MARGARINOS TORRES, R.;1436;2119001;130087;NORTE;VILA MARIA/VILA GUILHERME
3060071;1806;ATIVO;PRIVATIVO;COMUM;ESTAÇÃO BELÉM DO METRÔ;3135;3302000;5436;LESTE;MOOCA
3060080;1226;ATIVO;PRIVATIVO;COMUM;TOLEDO BARBOSA, R.;115;3061000;190357;LESTE;MOOCA
3060101;2189;ATIVO;PRIVATIVO;COMUM;LUIS FELIPE DE ORLEANS DOM, R.;761;2118001;38300;NORTE;VILA MARIA/VILA GUILHERME
3060110;1261;ATIVO;PRIVATIVO;COMUM;JEQUITINHONHA, R.;360;3021040;100420;LESTE;MOOCA
3060136;1281;ATIVO;PRIVATIVO;COMUM;SANTO EDUARDO, PÇA;99;2113000;62294;NORTE;VILA MARIA/VILA GUILHERME
3060306;1402;ATIVO;PRIVATIVO;COMUM;PIMENTA BUENO, R.;141;3060000;162361;LESTE;MOOCA
3065014;;ATIVO;LIVRE;COMUM RADIO;NADIR DIAS DE FIGUEIREDO, AV.;1191;2110000;19305;NORTE;VILA MARIA/VILA GUILHERME
3080030;1669;ATIVO;PRIVATIVO;COMUM;OSAKA, R.;250;2124040;150932;NORTE;VILA MARIA/VILA GUILHERME
3080048;287;ATIVO;PRIVATIVO;COMUM;MARIA MONTESSORI, PÇA;1;2127030;202991;NORTE;VILA MARIA/VILA GUILHERME
3080056;284;ATIVO;PRIVATIVO;COMUM;JOSÉ DE TOLEDO PIZA DR, PÇA;67;2127050;432385;NORTE;VILA MARIA/VILA GUILHERME
3080064;1728;ATIVO;PRIVATIVO;COMUM;COSMORAMA, PÇA;185;2127010;54151;NORTE;VILA MARIA/VILA GUILHERME
3080200;1284;ATIVO;PRIVATIVO;COMUM;DIAMANTINA, R.;490;2117010;257095;NORTE;VILA MARIA/VILA GUILHERME
3080234;719;EXTINTO;PRIVATIVO;COMUM;BENEDITO ESTEVAM DOS SANTOS DR, AV.;1529;2136000;31534;NORTE;VILA MARIA/VILA GUILHERME
3080250;1304;ATIVO;PRIVATIVO;COMUM;NOVA PRATA, R.;357;2122080;62170;NORTE;VILA MARIA/VILA GUILHERME
3080269;718;ATIVO;PRIVATIVO;COMUM;ERNANI PINTO, R.;31;2120020;257010;NORTE;VILA MARIA/VILA GUILHERME
3100014;1117;EXTINTO;PRIVATIVO;COMUM;EROTIDES DE CAMPOS, PÇA;59;2227310;232238;NORTE;VILA MARIA/VILA GUILHERME
3100049;1553;ATIVO;PRIVATIVO;COMUM;JOÃO PEREIRA DA SILVA SOLDADO. R.;269;2189010;102970;NORTE;VILA MARIA/VILA GUILHERME
3100057;1691;ATIVO;PRIVATIVO;COMUM;CARLOS KOSERITZ, PÇA;1;2227270;43770;NORTE;VILA MARIA/VILA GUILHERME
3100065;1197;ATIVO;PRIVATIVO;COMUM;ALCIDES DE OLIVEIRA 3º SGTO, AL.;84;2145040;5614;NORTE;VILA MARIA/VILA GUILHERME
3100073;1481;ATIVO;PRIVATIVO;COMUM;EDU CHAVES, AV.;1766;2229001;62243;NORTE;JACANA/TREMEMBE
3100081;716;ATIVO;PRIVATIVO;COMUM;ANGELO CONTI, PÇA;63;2138020;13897;NORTE;VILA MARIA/VILA GUILHERME
3100090;633;BLOQUEADO;PRIVATIVO;COMUM;MARIA CANDIDA, R.;207;2071013;131725;NORTE;VILA MARIA/VILA GUILHERME
3100103;2000;ATIVO;PRIVATIVO;COMUM;GABRIELA MISTRAL, AV.;160;3701000;77038;LESTE;PENHA
3100120;1271;ATIVO;PRIVATIVO;COMUM;GEOLANDIA, R.;489;2217000;146676;NORTE;VILA MARIA/VILA GUILHERME
3100154;2432;ATIVO;PRIVATIVO;COMUM;ARGOLO FERRÃO MAL., AV.;49;2139000;21709;NORTE;VILA MARIA/VILA GUILHERME
3100324;;ATIVO;LIVRE;COMUM;TÓKIO, PÇA;1;2132150;190330;NORTE;VILA MARIA/VILA GUILHERME
4020014;1609;ATIVO;PRIVATIVO;COMUM;CONCÓRDIA DA, LGO;120;3011010;139670;LESTE;MOOCA
4020022;877;ATIVO;PRIVATIVO;COMUM;FIGUEIRA DA, R.;831;3102010;71226;CENTRO OESTE;SE
4020030;1819;ATIVO;PRIVATIVO;COMUM;VASCO DA GAMA, R.;26;3003050;194999;LESTE;MOOCA
4020049;2687;ATIVO;PRIVATIVO;COMUM;JUTA DA, R.;368;3010010;114561;LESTE;MOOCA
4040023;1959;ATIVO;PRIVATIVO;COMUM;CAVALHEIRO, R.;216;3050010;46442;LESTE;MOOCA
4060016;2929;ATIVO;PRIVATIVO;COMUM;SERRA DO JAPI, R.;641;3309000;180718;LESTE;MOOCA
4065018;;ATIVO;LIVRE;COMUM RADIO;ULISSES CRUZ, R.;1201;3077000;193283;LESTE;MOOCA
4065026;;ATIVO;LIVRE;COMUM RADIO;CALHEIROS ALM., R.;467;3066070;39098;LESTE;MOOCA
4080041;1140;ATIVO;PRIVATIVO;COMUM;NOVO MUNDO, PÇA;368;2185000;148156;NORTE;VILA MARIA/VILA GUILHERME
4080050;1647;ATIVO;PRIVATIVO;COMUM;FRANCISCO FANGANIELO, R.;127;2181160;211613;NORTE;VILA MARIA/VILA GUILHERME
4080068;272;ATIVO;PRIVATIVO;COMUM;SANTO ELIAS, R.;272;3086050;63207;LESTE;MOOCA
4080076;1682;ATIVO;PRIVATIVO;COMUM;SÍRIA, R.;100;3086040;183474;LESTE;MOOCA
4080114;;ATIVO;LIVRE;ESPECIAL;SÃO JOSÉ DO MARANHÃO, LGO;1;3089010;109274;LESTE;MOOCA
4080122;1277;ATIVO;PRIVATIVO;COMUM;SANTA MARIA, R.;264;3085000;131156;LESTE;MOOCA
4080262;2919;ATIVO;PRIVATIVO;COMUM;GASPAR FREI, R.;780;3048020;77909;LESTE;MOOCA
4085019;;ATIVO;LIVRE;COMUM RADIO;SÃO JOSÉ DO MARANHÃO, LGO;207;3089010;109274;LESTE;MOOCA
4100018;476;ATIVO;PRIVATIVO;COMUM;PENHA FRANCA, AV.;679;3606010;160520;LESTE;PENHA
4100026;921;ATIVO;PRIVATIVO;COMUM;CANTINHO COM., R.;211;3603020;41483;LESTE;PENHA
4100042;1826;ATIVO;PRIVATIVO;COMUM;PLINIO AUGUSTO DE CAMARGO, R.;294;3607020;164283;LESTE;PENHA
4100050;1965;ATIVO;PRIVATIVO;COMUM;PENHA DE FRANÇA, AV.;211;3606010;160520;LESTE;PENHA
4120035;1126;ATIVO;PRIVATIVO;COMUM;FAUSTINO PAGANINI, R.;726;3732010;69132;LESTE;PENHA
4120043;2736;EXTINTO;PRIVATIVO;COMUM;CLAUDIA, R.;1;3617000;50326;LESTE;PENHA
4120221;1412;ATIVO;PRIVATIVO;COMUM;JOSÉ PINHEIRO, R.;332;3716160;111597;LESTE;PENHA
4140044;2475;ATIVO;PRIVATIVO;COMUM;CARVALHO PINTO GOV., AV.;962;3601000;437778;LESTE;PENHA
4140052;1148;ATIVO;PRIVATIVO;COMUM;GAJÊ, PÇA;55;3725040;305790;LESTE;PENHA
4148010;;ATIVO;;COMUM; ALFREDO RIBEIRO DE CASTRO, AV;189;3725010;206768;LESTE;PENHA
4160037;847;ATIVO;PRIVATIVO;COMUM;OLAVO EGÍDIO DE SOUZA ARANHA, R.;958;3822000;149179;LESTE;PENHA
4160134;942;ATIVO;PRIVATIVO;COMUM;GIOVANNI FIANI, PÇA;1;3746050;220108;LESTE;ERMELINO MATARAZZO
4160177;1420;ATIVO;PRIVATIVO;COMUM;OLAVO E. S. ARANHA, AV.;2334;3822000;149179;LESTE;ERMELINO MATARAZZO
4180020;1491;ATIVO;PRIVATIVO;COMUM;FIORAVANTE LOPES GARCIA, R.;14;3811000;71528;LESTE;ERMELINO MATARAZZO
4180038;1513;ATIVO;PRIVATIVO;COMUM;RODRIGO DE BRUM, AL.;170;3807230;599050;LESTE;ERMELINO MATARAZZO
4180046;1573;ATIVO;PRIVATIVO;COMUM;JOSÉ LOPES RODRIGUES, R.;117;3810150;217590;LESTE;ERMELINO MATARAZZO
4180054;2260;EXTINTO;PRIVATIVO;COMUM;VITÓRIA SIMIONATO, R.;848;3808170;19283;LESTE;ERMELINO MATARAZZO
4180151;748;ATIVO;PRIVATIVO;COMUM;MIGUEL RACHID, R.;263;3808130;139416;LESTE;ERMELINO MATARAZZO
4185013;;ATIVO;LIVRE;COMUM RADIO;RAUL GOMES, R.;57;3807120;695912;LESTE;ERMELINO MATARAZZO
4200012;1283;ATIVO;PRIVATIVO;COMUM;ALBARDÃO, R.;80;8110400;140872;LESTE;ITAIM PAULISTA
4200020;834;ATIVO;PRIVATIVO;COMUM;LAUDELINO FERREIRA DO AMARAL TTE, AV.;600;8060000;116092;LESTE;SAO MIGUEL
4200039;2001;ATIVO;PRIVATIVO;COMUM;PIRES DO RIO,  AV.;4167;3450000;95800;LESTE;ITAQUERA
4200047;2585;ATIVO;PRIVATIVO;COMUM;TATUIRA, R.;19;8040020;671983;LESTE;SAO MIGUEL
4205022;;ATIVO;LIVRE;COMUM RADIO;NICOLAU CAMPANELA, R.;369;8230600;145688;LESTE;ITAQUERA
4205030;;ATIVO;LIVRE;COMUM RADIO;IRINEU BONARDI, R.;1;8011180;93394;LESTE;SAO MIGUEL
4220021;1110;ATIVO;PRIVATIVO;COMUM;HENRIQUE DE PAULA FRANÇA, R.;137;8010080;86835;LESTE;SAO MIGUEL
4220064;93;ATIVO;PRIVATIVO;COMUM;GETÚLIO VARGAS FILHO, PÇA;215;8010040;138916;LESTE;SAO MIGUEL
4220072;751;ATIVO;PRIVATIVO;COMUM;JOSÉ GUILHERME EIRAS DR, R.;293;8010220;110000;LESTE;SAO MIGUEL
4220080;2418;ATIVO;PRIVATIVO;COMUM;ITAIM, AV.;74;8110840;94536;LESTE;ITAIM PAULISTA
4220099;760;ATIVO;PRIVATIVO;COMUM;LUIZ PICOLO, R.;1;8010320;122831;LESTE;SAO MIGUEL
4220102;742;ATIVO;PRIVATIVO;COMUM;ALEIXO MONTEIRO MAFRA PE, PÇA;369;8011010;6050;LESTE;SAO MIGUEL
4220145;511;ATIVO;PRIVATIVO;COMUM;JOSÉ OTONI, R.;189;8010290;111309;LESTE;SAO MIGUEL
4220196;;ATIVO;LIVRE;COMUM;MIGUEL ANGELO LAPENA, R.;43;8010040;138916;LESTE;SAO MIGUEL
4240014;1453;ATIVO;PRIVATIVO;COMUM;SÃO GONÇALO DO RIO DAS PEDRAS, R.;1583;8010090;178209;LESTE;ITAIM PAULISTA
4260015;2928;ATIVO;PRIVATIVO;COMUM;CANAL DE TUTOIA, AV;28;8121220;749346;LESTE;ITAIM PAULISTA
5020018;1468;ATIVO;PRIVATIVO;COMUM;RANGEL PESTANA, AV.;500;3002000;168700;LESTE;MOOCA
5020034;1753;ATIVO;PRIVATIVO;COMUM;DOMINGOS PAIVA, R.;420;3043000;60461;LESTE;MOOCA
5020042;2397;ATIVO;PRIVATIVO;COMUM;PIRATININGA, R.;165;3042001;163589;LESTE;MOOCA
5040027;329;ATIVO;PRIVATIVO;COMUM;MARIA MARCOLINA, R.;818;3011000;133035;LESTE;MOOCA
5040035;2106;ATIVO;PRIVATIVO;COMUM;GOMES CARDIM, R.;22;3050000;80829;LESTE;MOOCA
5040051;2414;ATIVO;PRIVATIVO;COMUM;COIMBRA, R.;620;3052030;51560;LESTE;MOOCA
5060010;114;ATIVO;PRIVATIVO;COMUM;GUILHERME RUDGE MAJOR, PÇA;1;3014020;84980;LESTE;MOOCA
5080037;2155;ATIVO;PRIVATIVO;COMUM;CARLOS OLIVA CEL, R.;40;3067010;43982;LESTE;MOOCA
5080096;1445;ATIVO;PRIVATIVO;COMUM;MELO PEIXOTO, R. (ESTAÇÃO CARRÃO);1445;3070000;138053;LESTE;MOOCA
5100020;262;ATIVO;PRIVATIVO;COMUM;JOAQUIM ALVES PRAÇA;10;3631000;82627;LESTE;PENHA
5100046;460;ATIVO;PRIVATIVO;COMUM;MICAELA VIEIRA DA, PÇA;107;3634120;80314;LESTE;PENHA
5100054;766;ATIVO;PRIVATIVO;COMUM;SÓCRATES GAL, R.;112;3632040;183822;LESTE;PENHA
5100070;564;ATIVO;PRIVATIVO;COMUM;AVELINO CARNEIRO CAP., R.;397;3603010;26271;LESTE;PENHA
5100089;2014;ATIVO;PRIVATIVO;COMUM;ROSÁRIO DO, LGO;1;3634020;174491;LESTE;PENHA
5105013;;ATIVO;LIVRE;COMUM RADIO;SANTO AFONSO, R.;163;3632020;2542;LESTE;PENHA
5120012;686;EXTINTO;PRIVATIVO;COMUM;MARIA CARLOTA, R.;204;3647000;131776;LESTE;PENHA
5120039;1287;ATIVO;PRIVATIVO;COMUM;ALVINÓPOLIS, R.;496;3644070;9296;LESTE;PENHA
5120047;2206;ATIVO;PRIVATIVO;COMUM;CHAMANÁ, R.;9;3613040;48461;LESTE;PENHA
5120080;1439;ATIVO;PRIVATIVO;COMUM;ALVINÓPOLIS, R.;84;3644070;9296;LESTE;PENHA
5120098;2902;ATIVO;PRIVATIVO;COMUM;UICÓ, R.;450;3621020;193208;LESTE;PENHA
5125014;;ATIVO;LIVRE;COMUM RADIO;CANDAPUÍ, R.;115;3621000;40878;LESTE;PENHA
5140013;1360;ATIVO;PRIVATIVO;COMUM;SÃO SERAPIÃO, R.;28;3664000;180122;LESTE;PENHA
5140030;1759;ATIVO;PRIVATIVO;COMUM;VIEIRA MENDES, R.;18;3651150;196983;LESTE;PENHA
5140048;806;ATIVO;PRIVATIVO;COMUM;BOAVENTURA RODRIGUES DA SILVA, R.;63;3801120;34142;LESTE;ERMELINO MATARAZZO
5160014;1459;ATIVO;PRIVATIVO;COMUM;BOIPEVA, R.;18;8220030;34320;LESTE;PENHA
5160049;835;ATIVO;PRIVATIVO;COMUM;JUAZEIRO DO NORTE, R.;47;3687000;106275;LESTE;PENHA
5160073;2306;ATIVO;PRIVATIVO;COMUM;SANTA QUITÉRIA, PÇA;1;3688130;167738;LESTE;PENHA
5165016;;ATIVO;LIVRE;COMUM RADIO;JARAUARÁ, R.;445;3665000;99627;LESTE;PENHA
5180023;1496;ATIVO;PRIVATIVO;COMUM;PROFESSORAS DAS, PÇA;63;8225320;166448;LESTE;ITAQUERA
5180066;1310;ATIVO;PRIVATIVO;COMUM;CAMPANELLA , AV.;2351;8220831;39942;LESTE;ITAQUERA
5200016;2852;ATIVO;PRIVATIVO;COMUM;FRANCISCO ALARICO BERGAMO, R.;45;8230010;73440;LESTE;ITAQUERA
5240069;2602;ATIVO;PRIVATIVO;COMUM;BELMIRO VALVERDE, R.;13;8450050;31020;LESTE;GUAIANAZES
5240085;833;ATIVO;PRIVATIVO;COMUM;BENEDITO LEITE DE ÁVILA, R.;435;8441380;31690;LESTE;GUAIANAZES
6080014;2132;ATIVO;PRIVATIVO;COMUM;ITAPURA, R.;1098;3322001;26735;LESTE;MOOCA
6080022;2983;EXTINTO;PRIVATIVO;COMUM;CANTAGALO, R.;808;3319000;41440;LESTE;MOOCA
6080030;2993;EXTINTO;PRIVATIVO;COMUM;SERRA DE BRAGANÇA, R.;700;3318000;180688;LESTE;MOOCA
6100015;1282;ATIVO;PRIVATIVO;COMUM;JULIO COLAÇO, R.;95;3503000;183709;LESTE;PENHA
6100031;1650;ATIVO;PRIVATIVO;COMUM;MACIEL MONTEIRO, R.;287;3566000;124613;LESTE;PENHA
6100040;1896;ATIVO;PRIVATIVO;COMUM;OSVALDO GOMES BARRETO, R.;208;3422010;151700;LESTE;ARICANDUVA
6100058;1697;ATIVO;PRIVATIVO;COMUM;ANTÔNIO LOBO, R.;74;3634030;17701;LESTE;PENHA
6120032;1474;ATIVO;PRIVATIVO;COMUM;BRASÍLIO PEREIRA DE MELO, AV.;315;3522000;36161;LESTE;PENHA
6120040;1458;ATIVO;PRIVATIVO;COMUM;WALDEMAR CARLOS PEREIRA, AV.;548;3533001;82619;LESTE;PENHA
6120059;160;ATIVO;PRIVATIVO;COMUM;QUINZE DE OUTUBRO, PÇA;1;3449080;167568;LESTE;ARICANDUVA
6120067;629;ATIVO;PRIVATIVO;COMUM;MARCONDES DE BRITO, AV.;1500;3509000;129445;LESTE;PENHA
6120075;2136;ATIVO;PRIVATIVO;COMUM;CARNEIRO RIBEIRO, AV.;193;3461030;44806;LESTE;ARICANDUVA
6120156;;ATIVO;LIVRE;COMUM;MOISÉS MARX, R.;454;3507000;141054;LESTE;PENHA
6120210;1457;ATIVO;PRIVATIVO;COMUM;PEDRO DIAS DE CAMPOS CEL, R.;1024;3508010;159158;LESTE;PENHA
6125018;;ATIVO;LIVRE;COMUM RADIO;JOSÉ MENDES JR, R.;57;3510030;111040;LESTE;PENHA
6140017;1111;ATIVO;PRIVATIVO;COMUM;ANTÔNIO ESTEVÃO DE CARVALHO, AV.;2520;3540200;17027;LESTE;PENHA
6140025;975;ATIVO;PRIVATIVO;COMUM;KIYOSHI HIRATA, R.;77;3547110;115029;LESTE;PENHA
6140033;1524;ATIVO;PRIVATIVO;COMUM;MAR DE ESPANHA, R.;51;3558080;128309;LESTE;PENHA
6140068;1913;ATIVO;PRIVATIVO;COMUM;ALEXANDRE MARTINS MACHADO, PÇA;1;3566010;86924;LESTE;PENHA
6140076;949;ATIVO;PRIVATIVO;COMUM;WALDEMAR CARLOS PEREIRA, R.;1613;3533003;82619;LESTE;PENHA
6140084;2052;ATIVO;PRIVATIVO;COMUM;SOARES DE CAMARGO ENGº, AV.;10;3556000;183652;LESTE;PENHA
6140092;2212;ATIVO;PRIVATIVO;COMUM;ESTANISLAU DE CAMPOS PE, R.;860;3590060;361739;LESTE;PENHA
6140181;1451;ATIVO;PRIVATIVO;COMUM;COSTA REGO, R.;30;3542030;54410;LESTE;PENHA
6160018;1312;ATIVO;PRIVATIVO;COMUM;OSVALDO VALLE CORDEIRO, AV.;150;3584000;222682;LESTE;ITAQUERA
6160026;1535;ATIVO;PRIVATIVO;COMUM;ESTANISLAU DE CAMPOS PADRE, AV.;649;3590060;361739;LESTE;PENHA
6160042;1167;EXTINTO;PRIVATIVO;COMUM;WALDEMAR TIETZ, AV.;1098;3589001;346543;LESTE;PENHA
6160069;1562;EXTINTO;PRIVATIVO;COMUM;FRANCISCO DE TOLEDO PADRE, AV;400;3590120;361720;LESTE;PENHA
6160085;2516;ATIVO;PRIVATIVO;COMUM;WALDEMAR TIETZ, AV.;541;3589000;346543;LESTE;PENHA
6160174;1346;ATIVO;PRIVATIVO;COMUM;CAMPOS DE MOURA DR , R.;467;3568010;40452;LESTE;PENHA
6165010;;ATIVO;LIVRE;COMUM RADIO;CÉSAR DIAZ, R.;53;3591000;412376;LESTE;PENHA
6165028;;ATIVO;LIVRE;COMUM RADIO;NICOLAU DA FONSECA IRMÃO, R.;285;3590170;361550;LESTE;PENHA
6165036;;EXTINTO;LIVRE;COMUM RADIO;ESTEVAO DIAS VERGARA, R.;434;8275120;659894;LESTE;ITAQUERA
6180191;697;ATIVO;PRIVATIVO;COMUM;SANTA MARCELINA, R.;177;8270070;128910;LESTE;ITAQUERA
6180205;1444;ATIVO;PRIVATIVO;COMUM;ITAQUERA - METRÔ;1;8220250;28754;LESTE;ITAQUERA
6200052;1184;ATIVO;PRIVATIVO;COMUM;JOÃO BATISTA CONTI PROFº, AV.;1100;8255210;101524;LESTE;ITAQUERA
6200060;1234;ATIVO;PRIVATIVO;COMUM;CARLOS SAMPAIO, R.;176;1333020;44105;CENTRO OESTE;SE
6200079;837;ATIVO;PRIVATIVO;COMUM;PAULO LOPES LEÃO, R.;801;8210510;146803;LESTE;ITAQUERA
6200095;2174;ATIVO;PRIVATIVO;COMUM;NAGIB FARAH MALUF, R.;100;8255000;372099;LESTE;ITAQUERA
6200109;2351;ATIVO;PRIVATIVO;COMUM;JACÚ PÊSSEGO, AV.;1200;8260005;469360;LESTE;ITAQUERA
6200117;2479;ATIVO;PRIVATIVO;COMUM;ITALINA, R.;450;8290000;260460;LESTE;ITAQUERA
6200141;2535;ATIVO;PRIVATIVO;COMUM;FLORES DE PIAUÍ, R.;150;8210090;133094;LESTE;ITAQUERA
6205011;;ATIVO;LIVRE;COMUM RADIO;KEN SUGAYA, R.;159;8210100;171239;LESTE;ITAQUERA
6205020;;ATIVO;LIVRE;COMUM RADIO;TOMÉ ALVARES DE CASTRO, R.;45;8290270;190705;LESTE;ITAQUERA
6240054;2842;ATIVO;PRIVATIVO;COMUM;METALÚRGICOS DA, AV.;1110;8474000;453544;LESTE;CIDADE TIRADENTES
6240070;1720;ATIVO;PRIVATIVO;COMUM;IDEAL, R.;72;8461150;89923;LESTE;GUAIANAZES
6240127;1376;ATIVO;PRIVATIVO;COMUM;SALVADOR GIANETTI, R.;1140;8410000;176664;LESTE;GUAIANAZES
6240135;2492;ATIVO;PRIVATIVO;COMUM;MEIRA PENNA DR, R.;61;8410080;137820;LESTE;GUAIANAZES
7060018;2960;EXTINTO;PRIVATIVO;COMUM;COELHO LISBOA,R;420;3323040;51535;LESTE;MOOCA
7060025;800;ATIVO;PRIVATIVO;COMUM;CATIGUÁ, R.;84;3065030;46183;LESTE;MOOCA
7060033;1879;ATIVO;PRIVATIVO;COMUM;SILVIO ROMERO, PÇA;154;3323000;182761;LESTE;MOOCA
7060051;2961;EXTINTO;PRIVATIVO;COMUM;CANTAGALO,R;160;3319000;41440;LESTE;MOOCA
7060069;2962;EXTINTO;PRIVATIVO;COMUM;ISIDRO TINOCO,R;120;3316010;93998;LESTE;MOOCA
7060077;2975;EXTINTO;PRIVATIVO;COMUM;PLATINA,R;21;3308010;164224;LESTE;MOOCA
7060084;775;ATIVO;PRIVATIVO;COMUM;DOMINGOS AGOSTIM, R. (METRÔ TATUAPÉ);199;3306010;59900;LESTE;MOOCA
7065010;;ATIVO;LIVRE;COMUM RADIO;MONTE SERRAT, R.;155;3312000;141780;LESTE;MOOCA
7080018;1101;EXTINTO;PRIVATIVO;COMUM;EUCLIDES PACHECO, R.;437;3321000;67415;LESTE;MOOCA
7080026;691;ATIVO;PRIVATIVO;COMUM;FRANCISCO MARENGO, R.;603;3313000;74888;LESTE;MOOCA
7080042;2216;ATIVO;PRIVATIVO;COMUM;ARNALDO ROSA, R.;1800;3342000;69329;LESTE;ARICANDUVA
7080050;2141;ATIVO;PRIVATIVO;COMUM;MONTE SERRAT, R.;281;3312001;141780;LESTE;MOOCA
7080069;1810;ATIVO;PRIVATIVO;COMUM;EMÍLIA MARENGO, R.;58;3336000;64408;LESTE;ARICANDUVA
7080077;31;ATIVO;PRIVATIVO;COMUM;SERRA DO JAPI, R.;1500;3309001;180718;LESTE;MOOCA
7080085;758;ATIVO;PRIVATIVO;COMUM;SILVIO ROMERO, PÇA;282;3323000;182761;LESTE;MOOCA
7080093;2012;ATIVO;PRIVATIVO;COMUM;AZEVEDO, R.;321;3308000;26581;LESTE;MOOCA
7080107;2213;ATIVO;PRIVATIVO;COMUM;ANTONIO DE BARROS, R.;328;3089000;16578;LESTE;MOOCA
7080131;2305;ATIVO;PRIVATIVO;COMUM;SERRA DE BRAGANCA, R.;1096;3318000;180688;LESTE;MOOCA
7080140;2384;ATIVO;PRIVATIVO;COMUM;COELHO LISBOA, R.;463;3323040;51535;LESTE;MOOCA
7080158;2471;ATIVO;PRIVATIVO;COMUM;SERRA DE JUREA, R.;351;3323020;180726;LESTE;MOOCA
7080166;2724;ATIVO;PRIVATIVO;COMUM;AGUAPEI, R.;520;3325000;3654;LESTE;MOOCA
7080174;1393;ATIVO;PRIVATIVO;COMUM;APUCARANA, R.;1696;3311001;19674;LESTE;MOOCA
